station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
가산디지털단지,101706,25232,20525,76109,7호선,0.248,0.202,0.383,-75.191,Weekday-oriented,23,240
역삼,126467,35162,23410,95587,2호선,0.278,0.185,0.429,-72.197,Weekday-oriented,17,239
서대문,46943,15583,11770,36348,5호선,0.332,0.251,0.512,-66.803,Weekday-oriented,83,238
문정,53827,18260,11705,41695,8호선,0.339,0.217,0.523,-66.076,Weekday-oriented,71,237
한양대,29586,10250,6443,22978,2호선,0.346,0.218,0.534,-65.355,Weekday-oriented,146,236
선릉,125904,44395,29651,98116,2호선,0.353,0.236,0.544,-64.739,Weekday-oriented,14,235
학동,53921,19540,11477,42104,7호선,0.362,0.213,0.559,-63.761,Weekday-oriented,68,234
여의도,68910,27170,19925,54696,5호선,0.394,0.289,0.608,-60.571,Weekday-oriented,42,233
교대(법원.검찰청),108679,45362,30188,86899,"2호선, 3호선",0.417,0.278,0.644,-58.26,Weekday-oriented,20,232
양평,18783,7925,5959,15081,5호선,0.422,0.317,0.651,-57.807,Weekday-oriented,191,231
일원,25563,10843,8062,20538,3호선,0.424,0.315,0.654,-57.584,Weekday-oriented,160,230
매봉,28975,12310,9095,23283,3호선,0.425,0.314,0.655,-57.515,Weekday-oriented,144,229
잠실나루,33795,15098,11909,27431,2호선,0.447,0.352,0.689,-55.324,Weekday-oriented,125,228
청담,43690,19618,13046,35368,7호선,0.449,0.299,0.693,-55.097,Weekday-oriented,86,227
충정로(경기대입구),35592,16023,11137,28850,"2호선, 5호선",0.45,0.313,0.694,-54.981,Weekday-oriented,112,226
논현,43864,19826,14017,35593,7호선,0.452,0.32,0.697,-54.8,Weekday-oriented,85,225
내방,33856,15320,11549,27515,7호선,0.453,0.341,0.698,-54.75,Weekday-oriented,123,224
양재(서초구청),88166,40070,25338,71455,3호선,0.454,0.287,0.701,-54.552,Weekday-oriented,30,223
경찰병원,17149,7922,6136,13997,3호선,0.462,0.358,0.712,-53.806,Weekday-oriented,199,222
방배,40077,18582,12210,32619,2호선,0.464,0.305,0.715,-53.635,Weekday-oriented,98,221
